      | -1         0         1 |
      | 1098765432101234567890 |
  -26 | AAAAAAAAAAAAAAAAAAAAAA |
  -25 | AAAAAAAAASSSSAAAAAAAAA |
  -24 | AAAAAAAAASSSSAAAAAAAAA |
  -23 | AAAAAAAAASS@SAAAAAAAAA |
  -22 | AAAAAAAAASSSSAAAAAAAAA |
  -21 | AAAAAAAAAAAAAAAAAAAAAA |
  -20 | BBBBBBBBBBBBBBBBBBBBBB |
  -19 | BBBBBBBBBBBBBBBBBBBBBB |
  -18 | BBBBBBBBBBBBBBBBBBBBBB |
  -17 | BBBBBBBBBBBBBBBBBBBBBB |
  -16 | BBBBBBBBBBBBBBBBBBBBBB |
  -15 | BBBBBBBBBBBBBBBBBBBBBB |
  -14 |    CCCCCCCCCCCCCCCC    |
  -13 |    CCCC!CCCCCCCCCCC    |
  -12 |    CCCCCCCCCCCCCCCC    |
  -11 |    CCCCCCCCCCCCCCCC    |
  -10 | DDDDDDDDDDDDDDDDDDDDDD |
   -9 | DDDDDDDDDDDDDDDDDDDDDD |
   -8 | DDDDDDDDDDDDDDDDDDDDDD |
   -7 | DDDDDDDDDDDDDDDDDDDDDD |
   -6 | ++++++++++++++++++++++ |
   -5 | ++++++++++++++++++++++ |
   -4 | ++++++++++++++++++++++ |
   -3 | ++++++++++++++++++++++ |
   -2 | ++++++++++++++++++++++ |
   -1 | ++++++++++++++++++++++ |
    0 | ++++++++++++++++++++++ |
    1 | ++++++++++++++++++++++ |
    2 | ++++++++++++++++++++++ |
    3 | ++++++++++++++++++++++ |
    4 | ++++++++++++++++++++++ |
    5 | ++++++++++++++++++++++ |
    6 | DDDDDDDDDDDDDDDDDDDDDD |
    7 | DDDDDDDDDDDDDDDDDDDDDD |
    8 | DDDDDDDDDDDDDDDDDDDDDD |
    9 | DDDDDDDDDDDDDDDDDDDDDD |
   10 |    CCCCCCCCCCCCCCCC    |
   11 |    CCCCCCCCCCCCCCCC    |
   12 |    CCCCCCCCCCC!CCCC    |
   13 |    CCCCCCCCCCCCCCCC    |
   14 | BBBBBBBBBBBBBBBBBBBBBB |
   15 | BBBBBBBBBBBBBBBBBBBBBB |
   16 | BBBBBBBBBBBBBBBBBBBBBB |
   17 | BBBBBBBBBBBBBBBBBBBBBB |
   18 | BBBBBBBBBBBBBBBBBBBBBB |
   19 | BBBBBBBBBBBBBBBBBBBBBB |
   20 | AAAAAAAAAAAAAAAAAAAAAA |
   21 | AAAAAAAAASSSSAAAAAAAAA |
   22 | AAAAAAAAASSSSAAAAAAAAA |
   23 | AAAAAAAAASS@SAAAAAAAAA |
   24 | AAAAAAAAASSSSAAAAAAAAA |
   25 | AAAAAAAAAAAAAAAAAAAAAA |
      22 × 52 cells drawn  ·  22 × 52 cells = 88 × 208 blocks  ·  cell 4
      ! destroyable   @ spawn   A head (piece)   B apron (piece)   C bench (piece)   
      D flats (piece)   S camp (spawn)   
